Wavelength,Black,Grey,White
796,4.441631081,9.201445703,68.14219177
797,4.441614463,9.20045417,68.12408048
798,4.441506689,9.200309923,68.1008524
799,4.442179875,9.202785853,68.07851607
800,4.446432942,9.203434247,68.05646709
801,4.44700552,9.202117556,68.04178459
802,4.442380688,9.198879905,68.03612531
803,4.449650301,9.201861348,68.01767768
804,4.447156471,9.201352885,67.99886452
805,4.441557878,9.198518861,67.98050253
806,4.447138685,9.195082985,67.96482193
807,4.448035619,9.197764423,67.95419427
808,4.448175833,9.198548719,67.93610454
809,4.44898438,9.193888336,67.90420454
810,4.450212089,9.196817948,67.89097241
811,4.451681294,9.199387782,67.8753464
812,4.452929459,9.20112337,67.85868893
813,4.452064126,9.20050706,67.84790778
814,4.452694815,9.199414121,67.82961447
815,4.452794751,9.198222341,67.80975556
816,4.450859347,9.197156338,67.79188528
817,4.452542285,9.199178249,67.77439194
818,4.456307476,9.200294687,67.76148245
819,4.46046551,9.19995354,67.75168555
820,4.454008013,9.196439419,67.73262268
821,4.454353809,9.192045463,67.71307159
822,4.456971154,9.190543843,67.69197496
823,4.457897993,9.197175357,67.66765852
824,4.460467183,9.197245914,67.65761848
825,4.462312573,9.198258548,67.64500572
826,4.463292953,9.201039786,67.62706948
827,4.469405617,9.195558179,67.61078082
828,4.46951708,9.195979377,67.59239014
829,4.467175139,9.196796921,67.57491173
830,4.468130014,9.187560157,67.56467425
831,4.463701162,9.189838575,67.54803341
832,4.461867077,9.192132621,67.5307469
833,4.465574451,9.19071562,67.51460989
834,4.464583924,9.18974549,67.49388978
835,4.466261639,9.191298317,67.47687146
836,4.468491429,9.194562046,67.46209627
837,4.464580079,9.197483852,67.44566668
838,4.467218674,9.196786154,67.43270461
839,4.47020901,9.196310201,67.41815259
840,4.470251941,9.198213606,67.3988792
841,4.471165575,9.195610827,67.36906831
842,4.471043756,9.195025876,67.34191275
843,4.47073107,9.19612922,67.32023591
844,4.475474396,9.195378192,67.31662993
845,4.47424977,9.192372106,67.29986562
846,4.472325972,9.189307614,67.28183271
847,4.474151034,9.188133455,67.27274936
848,4.47341152,9.194603066,67.25049351
849,4.473343339,9.196123881,67.22554181
850,4.474472126,9.192098144,67.19966547
851,4.477692405,9.195193831,67.17773667
852,4.479974998,9.198228104,67.15836437
853,4.482359776,9.199126743,67.13749109
854,4.486371713,9.193936114,67.10875583
855,4.483268474,9.1929932,67.08309384
856,4.483586706,9.193090769,67.05471801
857,4.489626062,9.193457656,67.0221159
858,4.48404302,9.190666173,66.98839007
859,4.485305574,9.190199934,66.96793827
860,4.488478323,9.191080236,66.9541135
861,4.482658638,9.191570822,66.93417074
862,4.489946542,9.194606785,66.91531787
863,4.493787137,9.196658051,66.89188704
864,4.486836171,9.196106994,66.86077372
865,4.493478708,9.198024923,66.85117762
866,4.491464704,9.196317161,66.83856363
867,4.48569667,9.192802096,66.82520658
868,4.496519858,9.194731554,66.82205854
869,4.494680436,9.192442122,66.81685229
870,4.491861542,9.191073315,66.81665598
871,4.495578658,9.194349239,66.82772094
